text,is_palindrome
No lemon no melon,True
Data Engineer,False
ChatGPT,False
Machine Learning,False
Was it a car or a cat I saw,True
Civic,True
No lemon no melon,True
OpenAI,False
Kayak,True
Machine Learning,False
Machine Learning,False
Refer,True
Civic,True
Step on no pets,True
Was it a car or a cat I saw,True
Refer,True
Never odd or even,True
Rotor,True
Civic,True
Level,True
Refer,True
Codebasics,False
Able was I ere I saw Elba,True
Level,True
Civic,True
Race car,True
Codebasics,False
Rotor,True
Codebasics,False
Stats,True
Power BI Report,False
Python,False
n8n Workflow,False
ChatGPT,False
ChatGPT,False
OpenAI,False
Codebasics,False
Kayak,True
Data Engineer,False
Stats,True
Never odd or even,True
madam,True
OpenAI,False
No lemon no melon,True
Civic,True
Data Analytics,False
No lemon no melon,True
Deep Work,False
Step on no pets,True
Stats,True
